Urut Nasional,Urut Provinsi,Rerata,NPSN,Sekolah,Provinsi,Kota/Kab.,Jenis
837,121,"515,343",20103300,SMAN 88 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMA
838,160,"515,314",20301902,SMKS TELEKOMUNIKASI SANDHY PUTRA PURWOKERTO,Jawa Tengah,Kab. Banyumas,SMK
839,45,"515,301",20603346,SMAS ISLAMIC VILLAGE,Banten,Kab. Tangerang,SMA
840,122,"515,289",20103305,SMAN 64 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMA
841,17,"515,268",10404015,SMA NEGERI 4 PEKANBARU,Riau,Kota Pekanbaru,SMA
842,158,"515,217",20219257,SMAN 10 BANDUNG,Jawa Barat,Kota Bandung,SMA
843,9,"515,198",10807030,SMA S FRANSISCUS,Lampung,Kota Bandar Lampung,SMA
844,23,"515,185",10307525,SMAN 3 BUKITTINGGI,Sumatera Barat,Kota Bukittinggi,SMA
845,8,"515,124",69814064,SMAS KRISTEN 2 RANTEPAO,Sulawesi Selatan,Kab. Toraja Utara,SMA
846,69,"515,085",20402116,SMAN 1 SEMIN,DI Yogyakarta,Kab. Gunung Kidul,SMA
847,10,"514,999",30315550,MAN 2 HULU SUNGAI UTARA,Kalimantan Selatan,Kab. Hulu Sungai Utara,MA
848,70,"514,964",20404175,SMAS PANGUDI LUHUR,DI Yogyakarta,Kota Yogyakarta,SMA
849,161,"514,963",20309526,SMKN 2 KLATEN,Jawa Tengah,Kab. Klaten,SMK
850,24,"514,897",10263753,MAS KMI DINIYAH PUTERI,Sumatera Barat,Kota Padang Panjang,MA
851,162,"514,877",20311331,SMAN 2 WONOGIRI,Jawa Tengah,Kab. Wonogiri,SMA
852,13,"514,865",30401066,SMA Negeri 1 Samarinda,Kalimantan Timur,Kota Samarinda,SMA
853,25,"514,858",10307524,SMAN 2 BUKITTINGGI,Sumatera Barat,Kota Bukittinggi,SMA
854,159,"514,702",20257102,SMAS IT THORIQ BIN ZIYAD,Jawa Barat,Kab. Bekasi,SMA
855,123,"514,693",20103312,SMAN 51 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMA
856,124,"514,675",20103287,SMAN 11 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMA
857,163,"514,663",20318337,SMA NEGERI 1 WELAHAN,Jawa Tengah,Kab. Jepara,SMA
858,7,"514,621",10900238,SMAN 1 BELINYU,Kepulauan Bangka Belitung,Kab. Bangka,SMA
859,71,"514,616",20403146,SMAS STELLA DUCE 2,DI Yogyakarta,Kota Yogyakarta,SMA
860,164,"514,6",20300729,SMA NEGERI 1 SIDAREJA,Jawa Tengah,Kab. Cilacap,SMA
861,165,"514,591",20326490,SMAN 1 BUMIAYU,Jawa Tengah,Kab. Brebes,SMA
862,1,"514,583",30401697,SMAN 1 TARAKAN,Kalimantan Utara,Kota Tarakan,SMA
863,125,"514,575",20177928,MAN 13 JAKARTA,DKI Jakarta,Kota Jakarta Selatan,MA
864,8,"514,568",11000382,SMKN 1 BATAM,Kepulauan Riau,Kota Batam,SMK
865,2,"514,554",60103098,SMAN SIWALIMA AMBON,Maluku,Kota Ambon,SMA
866,126,"514,467",20101500,SMKN 42 JAKARTA,DKI Jakarta,Kota Jakarta Barat,SMK
867,124,"514,466",20503407,SMA NEGERI NGORO,Jawa Timur,Kab. Jombang,SMA
868,125,"514,464",20535465,UPT SMA NEGERI 2 PASURUAN,Jawa Timur,Kota Pasuruan,SMA
869,160,"514,427",20221587,SMAS PESANTREN TERPADU HAYATAN THAYYIBAH,Jawa Barat,Kota Sukabumi,SMA
870,19,"514,417",50103122,SMAN 5 DENPASAR,Bali,Kota Denpasar,SMA
871,46,"514,404",20613785,SMAN 23 KABUPATEN TANGERANG,Banten,Kab. Tangerang,SMA
872,161,"514,35",20206227,SMAN 1 CISARUA,Jawa Barat,Kab. Bandung Barat,SMA
873,162,"514,349",69874079,SMA REGINA CAELI,Jawa Barat,Kab. Bogor,SMA
874,126,"514,292",20503415,SMA NEGERI 1 JOMBANG,Jawa Timur,Kab. Jombang,SMA
875,166,"514,274",20339022,SMA NEGERI 1 TAYU,Jawa Tengah,Kab. Pati,SMA
876,72,"514,22",20401136,SMKN 1 TEMPEL,DI Yogyakarta,Kab. Sleman,SMK
877,8,"514,21",10901019,SMAN 1 KELAPA KAMPIT,Kepulauan Bangka Belitung,Kab. Belitung Timur,SMA
878,20,"514,184",50103126,SMAN 2 DENPASAR,Bali,Kota Denpasar,SMA
879,127,"514,088",20101604,SMAN 57 JAKARTA,DKI Jakarta,Kota Jakarta Barat,SMA
880,3,"514,077",40203776,SMAN MODEL TERPADU MADANI,Sulawesi Tengah,Kota Palu,SMA
881,127,"514,009",20534408,SMKN 2 KEDIRI,Jawa Timur,Kota Kediri,SMK
882,163,"513,993",20219775,SMAS PLUS MUTHAHHARI,Jawa Barat,Kota Bandung,SMA
883,128,"513,891",69856217,SMA PEMBANGUNAN JAYA 2,Jawa Timur,Kab. Sidoarjo,SMA
884,164,"513,848",20219141,SMKN 7 BANDUNG,Jawa Barat,Kota Bandung,SMK
885,165,"513,842",20219235,SMAN 17 BANDUNG,Jawa Barat,Kota Bandung,SMA
886,129,"513,838",20580048,MAN 2 KOTA MADIUN,Jawa Timur,Kota Madiun,MA
887,73,"513,784",20401128,SMAN 1 NGEMPLAK,DI Yogyakarta,Kab. Sleman,SMA
888,130,"513,774",20501700,SMAN 4 SIDOARJO,Jawa Timur,Kab. Sidoarjo,SMA
889,14,"513,714",30401785,SMAN 2 BONTANG,Kalimantan Timur,Kota Bontang,SMA
890,128,"513,701",20101621,SMAN 23 JAKARTA,DKI Jakarta,Kota Jakarta Barat,SMA
891,167,"513,65",20326488,SMAN 1 BREBES,Jawa Tengah,Kab. Brebes,SMA
892,166,"513,606",20270720,SMAS ISLAM HASMI,Jawa Barat,Kab. Bogor,SMA
893,6,"513,589",69976449,MAN INSAN CENDEKIA SAMBAS,Kalimantan Barat,Kab. Sambas,MA
894,74,"513,535",20401193,SMKN 1 DEPOK,DI Yogyakarta,Kab. Sleman,SMK
895,75,"513,476",20400374,SMA NEGERI 1 PUNDONG,DI Yogyakarta,Kab. Bantul,SMA
896,131,"513,472",20580301,MAS MUHAMMADIYAH 1 JEMBER,Jawa Timur,Kab. Jember,MA
897,4,"513,421",50202522,SMAN 1 SELONG,Nusa Tenggara Barat,Kab. Lombok Timur,SMA
898,168,"513,392",20331830,SMKS FARMASI NASIONAL SURAKARTA,Jawa Tengah,Kota Surakarta,SMK
899,169,"513,357",20318339,SMA NEGERI 1 PECANGAAN,Jawa Tengah,Kab. Jepara,SMA
900,170,"513,224",20328448,SMAN 2 SALATIGA,Jawa Tengah,Kota Salatiga,SMA
901,132,"513,197",20534308,SMAS AR RISALAH,Jawa Timur,Kota Kediri,SMA
902,76,"513,158",20401137,SMKN 1 GODEAN,DI Yogyakarta,Kab. Sleman,SMK
903,133,"513,141",20532167,SMAS LUQMAN AL HAKIM,Jawa Timur,Kota Surabaya,SMA
904,7,"513,092",30101943,SMAN 1 SANGGAU,Kalimantan Barat,Kab. Sanggau,SMA
905,18,"513,026",10403425,SMAN 1 TUALANG,Riau,Kab. Siak,SMA
906,171,"513,014",20328460,SMKN 2 SALATIGA,Jawa Tengah,Kota Salatiga,SMK
907,9,"512,963",40307392,SMAN 5 MAKASSAR,Sulawesi Selatan,Kota Makassar,SMA
908,4,"512,95",10700669,SMAN 1 REJANG LEBONG,Bengkulu,Kab. Rejang Lebong,SMA
909,172,"512,941",20330335,SMKN 2 KEBUMEN,Jawa Tengah,Kab. Kebumen,SMK
910,167,"512,935",20280328,MAS PERSIS TAROGONG,Jawa Barat,Kab. Garut,MA
911,47,"512,904",20623275,MAN 2 KOTA SERANG,Banten,Kota Serang,MA
912,129,"512,892",20103280,SMAN 36 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMA
913,134,"512,844",20523826,SMAN 4 JEMBER,Jawa Timur,Kab. Jember,SMA
914,168,"512,835",20200601,SMAN 1 LEUWILIANG,Jawa Barat,Kab. Bogor,SMA
915,15,"512,818",30401059,SMA Negeri 2 Samarinda,Kalimantan Timur,Kota Samarinda,SMA
916,10,"512,778",10609706,SMA XAVERIUS 03 PALEMBANG,Sumatera Selatan,Kota Palembang,SMA
917,169,"512,765",20208419,SMAN 1 SUMEDANG,Jawa Barat,Kab. Sumedang,SMA
918,130,"512,751",20100779,SMAN 75 JAKARTA,DKI Jakarta,Kota Jakarta Utara,SMA
919,170,"512,75",20206208,SMAN 1 PADALARANG,Jawa Barat,Kab. Bandung Barat,SMA
920,48,"512,728",69893966,SMA GLOBAL ISLAMIC SCHOOL 2,Banten,Kota Tangerang Selatan,SMA
921,171,"512,707",20251793,SMAN 1 CILEUNYI,Jawa Barat,Kab. Bandung,SMA
922,26,"512,659",10303504,SMAN 7 PADANG,Sumatera Barat,Kota Padang,SMA
923,49,"512,656",20603164,SMAS DAAR EL QOLAM,Banten,Kab. Tangerang,SMA
924,173,"512,631",20325258,SMKN 1 SLAWI,Jawa Tengah,Kab. Tegal,SMK
925,20,"512,529",10219919,SMAS HARAPAN 3 DELI TUA,Sumatera Utara,Kab. Deli Serdang,SMA
926,172,"512,519",20223068,SMAS PANGUDI LUHUR II,Jawa Barat,Kota Bekasi,SMA
927,135,"512,502",20584790,MAN 2 TULUNGAGUNG,Jawa Timur,Kab. Tulungagung,MA
928,19,"512,496",10497348,SMK KEHUTANAN NEGERI PEKANBARU,Riau,Kota Pekanbaru,SMK
929,173,"512,495",20219237,SMAN 16 BANDUNG,Jawa Barat,Kota Bandung,SMA
930,136,"512,366",20541242,SMAN 1 SUMBERREJO,Jawa Timur,Kab. Bojonegoro,SMA
931,50,"512,282",69859757,SMA INSAN RABBANY,Banten,Kota Tangerang Selatan,SMA
932,77,"512,275",20402089,SMKN 2 WONOSARI,DI Yogyakarta,Kab. Gunung Kidul,SMK
933,174,"512,203",20338920,SMK NEGERI 1 SRAGI,Jawa Tengah,Kab. Pekalongan,SMK
934,137,"512,183",60726350,SMAS PLUS AL FATIMAH,Jawa Timur,Kab. Bojonegoro,SMA
935,131,"512,152",20177927,MAN 7 JAKARTA,DKI Jakarta,Kota Jakarta Selatan,MA
936,138,"512,148",20519328,SMAS AL - MA HADUL ISLAMI BEJI,Jawa Timur,Kab. Pasuruan,SMA
937,11,"512,142",10603865,SMA NEGERI 01 PALEMBANG,Sumatera Selatan,Kota Palembang,SMA
938,51,"512,137",20606271,SMAN 2 KRAKATAU STEEL CILEGON,Banten,Kota Cilegon,SMA
939,139,"512,111",20520821,SMAN 1 LUMAJANG,Jawa Timur,Kab. Lumajang,SMA
940,140,"512,099",20584211,MAN 1 MALANG,Jawa Timur,Kab. Malang,MA
