#,NPSN,Sekolah,Provinsi,Rerata,Tertinggi,Terendah,Std. Deviasi,Jenis
21,20100187,SMAS KRISTEN 3 PENABUR JAKARTA,DKI Jakarta,"581,589","646,3","520,143","30,84",SMA
22,20100601,SMAS KRISTEN 5 BPK PENABUR,DKI Jakarta,"581,585","653,205","501,073","33,27",SMA
23,20219263,SMAS ALLOYSIUS 1,Jawa Barat,"581,123","646,988","481,745","36,18",SMA
24,20603357,SMAS KRISTEN BPK PENABUR GADING SERPONG,Banten,"580,709","641,455","448,723","33,05",SMA
25,20108383,SMAS SANTA URSULA,DKI Jakarta,"580,44","635,835","503,538","33,57",SMA
26,20109467,SMAS KRISTEN IPEKA PURI INDAH,DKI Jakarta,"580,165","635,518","511,888","36,18",SMA
27,20603376,SMAS SANTA URSULA BSD,Banten,"579,837","660,42","486,9","33,73",SMA
28,20107313,SMA LABSCHOOL KEBAYORAN,DKI Jakarta,579,"654,923","468,173","37,96",SMA
29,20102214,SMAN 34 JAKARTA,DKI Jakarta,"577,815","647,62","484,975","34,11",SMA
30,20616061,SMAS PAHOA,Banten,"577,767","652,275","362,283","55,6",SMA
31,20403177,SMAN 2 YOGYAKARTA,DI Yogyakarta,"577,078","653,543","488,73","31,7",SMA
32,20616291,SMAS ATHALIA,Banten,"576,357","643,128","498,613","42,04",SMA
33,20328915,SMAS KOLESE LOYOLA,Jawa Tengah,"576,114","655,025","498,55","31,5",SMA
34,20328895,SMA NEGERI 03,Jawa Tengah,"575,833","654,203","398,56","36,97",SMA
35,20327966,SMAN 1 SURAKARTA,Jawa Tengah,"575,671","651,775","490,413","33,17",SMA
36,60728785,MAN Insan Cendekia Gorontalo,Gorontalo,"575,538","645,675","444,895","35,02",MA
37,69895400,SMA BPK PENABUR HOLIS,Jawa Barat,"575,228","623,703","487,223","35,2",SMA
38,69787002,SMAK PENABUR KOTA TANGERANG,Banten,"575,117","649,7","444,39","40,4",SMA
39,20220342,SMAN 1 BOGOR,Jawa Barat,"574,94","681,885","436,513","40,01",SMA
40,20533665,SMAN 3,Jawa Timur,"574,806","656,79","447,24","37,74",SMA
41,20403171,SMAN 6 YOGYAKARTA,DI Yogyakarta,"574,582","642,273","458,115","33,49",SMA
42,20533654,SMAS K KOLESE ST YUSUP,Jawa Timur,"574,527","650,7","432,91","39,82",SMA
43,20101622,SMAN 2 JAKARTA,DKI Jakarta,"574,511","664,248","496,863",33,SMA
44,20100199,SMAN 68 JAKARTA,DKI Jakarta,"573,89","641,048","442,178","34,75",SMA
45,69941723,MAN INSAN CENDEKIA PEKALONGAN,Jawa Tengah,"573,763","641,908","473,25","34,64",MA
46,20101588,SMAN 78 JAKARTA,DKI Jakarta,"572,779","647,73","444,698","40,8",SMA
47,20400405,SMA NEGERI 1 BANTUL,DI Yogyakarta,"572,747","646,158","484,05","32,38",SMA
48,20107383,SMAS KRISTEN IPEKA SUNTER,DKI Jakarta,"572,583","645,29","499,42","37,27",SMA
49,20219327,SMAN 3 BANDUNG,Jawa Barat,"572,43","652,558","442,395","39,85",SMA
50,20101305,SMAS 4 KRISTEN PENABUR,DKI Jakarta,"572,404","630,775","452,77","33,48",SMA
51,20403162,SMAN 9 YOGYAKARTA,DI Yogyakarta,"572,032","638,053","479,125","30,2",SMA
52,20532230,SMAN 2 SURABAYA,Jawa Timur,"571,169","661,545","440,665","33,71",SMA
53,20219266,SMAS ST ANGELA,Jawa Barat,"571,101","650,665","482,46","37,5",SMA
54,20103307,SMAN 61 JAKARTA,DKI Jakarta,"571,055","640,77","495,153","32,74",SMA
55,20103314,SMAN 48 JAKARTA,DKI Jakarta,"570,644","649,258","469,795","32,9",SMA
56,10210848,SMAS SUTOMO 1,Sumatera Utara,"570,339","653,08","458,25","38,31",SMA
57,20253810,SMAS DON BOSCO III,Jawa Barat,"569,568","655,768","471,948","45,92",SMA
58,20533660,SMAN 1,Jawa Timur,"569,392","652,298","433,745","36,31",SMA
59,11002581,SMAS MAITREYAWIRA,Kepulauan Riau,"569,272","631,865","462,405","40,26",SMA
60,20107299,SMAS GONZAGA JAKARTA,DKI Jakarta,"569,183","647,69","476,05","33,44",SMA
61,20580050,MAN 2 KOTA MALANG,Jawa Timur,"569,116","653,183","463,013","39,8",MA
62,20523844,SMAN 1 JEMBER,Jawa Timur,"568,997","657,398","447,745","35,49",SMA
63,20606507,SMAS UPH COLEGE,Banten,"568,948","639,613","443,908","38,43",SMA
64,20403180,SMAN 5 YOGYAKARTA,DI Yogyakarta,"568,833","657,99","481,54","31,72",SMA
65,20100603,SMAS KRISTEN YUSUF,DKI Jakarta,"568,783","624,578","497,348","31,42",SMA
66,20219728,SMAS BPK 2 PENABUR,Jawa Barat,"568,477","662,103","479,185","33,61",SMA
67,20606853,SMAN 1 TANGERANG,Banten,"568,445","663,408","435,513","39,33",SMA
68,20104424,SMAS KRISTEN IPEKA TOMANG,DKI Jakarta,"568,185","648,145","473,19","50,03",SMA
69,20501706,SMAN 1 SIDOARJO,Jawa Timur,"568,181","658,918","443,898","39,07",SMA
70,20102218,SMAN 26 JAKARTA,DKI Jakarta,"568,055","643,668","459,855","35,11",SMA
71,20223020,SMAN 1 BEKASI,Jawa Barat,"567,88","649,868","407,148","43,27",SMA
72,20614920,SMA BINA NUSANTARA SERPONG,Banten,"567,455","632,378","512,265","32,94",SMA
73,10303611,SMAN 1 PADANG PANJANG,Sumatera Barat,"567,442","628,16","470,515","30,17",SMA
74,60724799,SMAS DARMA YUDHA,Riau,"567,388","642,878","483,663","46,56",SMA
75,20306202,SMAN 1 PURWOREJO,Jawa Tengah,"567,344","655,28","463,9","34,3",SMA
76,10310903,SMAN 1 SUMATERA BARAT,Sumatera Barat,"567,324","639,74","441,058","42,92",SMA
77,20309676,SMAN 1 KLATEN,Jawa Tengah,"567,303","657,055","458,18","32,98",SMA
78,20107304,SMAS ISLAM AL-AZHAR 1 JAKARTA,DKI Jakarta,"566,849","644,418","454,588","40,1",SMA
79,20103228,SMAS KRISTEN 7 BPK PENABUR JAKARTA,DKI Jakarta,"566,385","635,478","475,253","37,58",SMA
80,20223819,SMAN 1 KOTA DEPOK,Jawa Barat,"566,208","659,1","441,123","46,76",SMA
81,20305010,SMAN 1 KEBUMEN,Jawa Tengah,"565,842","659,738","455,383","35,65",SMA
82,20500479,SMAN 1 GRESIK,Jawa Timur,"565,837","671,2","434,45","37,93",SMA
83,69873999,SMA KRISTEN PENABUR KOTA WISATA,Jawa Barat,"565,803","635,585","449,665","40,63",SMA
84,20219279,SMAS TRINITAS BANDUNG,Jawa Barat,"565,798","619,14","477,695","32,09",SMA
85,20327563,SMAN 1 MAGELANG,Jawa Tengah,"565,676","648,583","452,288","37,13",SMA
86,20532135,SMAS KRISTEN PETRA 1,Jawa Timur,"565,585","640,248","472,598","43,15",SMA
87,20103284,SMAN 14 JAKARTA,DKI Jakarta,"565,317","662,005","456,63","37,13",SMA
88,20100799,SMAS SANTO YAKOBUS JAKARTA,DKI Jakarta,"565,228","639,67","482,018","38,44",SMA
89,20101589,SMAN 65 JAKARTA,DKI Jakarta,"564,86","653,158","476,03","31,91",SMA
90,20220343,SMAS REGINA PACIS,Jawa Barat,"564,821","650,878","469,378","36,85",SMA
91,20102193,SMAN 47 JAKARTA,DKI Jakarta,"564,735","651,615","468,433","41,45",SMA
92,20402126,SMAN 1 WONOSARI,DI Yogyakarta,"564,457","664,065","478,393","33,05",SMA
93,20328867,SMA NEGERI 01,Jawa Tengah,"564,32","644,303","463,573","36,86",SMA
94,20328447,SMAN 1 SALATIGA,Jawa Tengah,"563,852","654,025","461,338","35,37",SMA
95,20252198,SMA TALENTA,Jawa Barat,"563,837","640,425","498,82","35,89",SMA
96,20532237,SMAN 15 SURABAYA,Jawa Timur,"563,729","640,09","445,338","35,12",SMA
97,20103283,SMAN 21 JAKARTA,DKI Jakarta,"563,109","652,515","468,29","35,3",SMA
98,20102570,SMAN 70 JAKARTA,DKI Jakarta,"563,087","651,76","432,643","36,07",SMA
99,20613524,SMAS TARAKANITA GADING SERPONG,Banten,"563,002","663,053","451,093","46,72",SMA
100,20321438,SMA NEGERI 1 TEMANGGUNG,Jawa Tengah,"562,953","645,935","431,17","33,91",SMA
101,20504500,SMAN 1 BOJONEGORO,Jawa Timur,"562,854","660,085","459,82","34,24",SMA
102,20308449,SMAN 1 BOYOLALI,Jawa Tengah,"562,809","649,78","467,53","32,12",SMA
103,20400381,SMA NEGERI 2 BANTUL,DI Yogyakarta,"562,761","637,07","441,598","32,29",SMA
104,20327968,SMAN 3 SURAKARTA,Jawa Tengah,"562,506","645,483","458,27","34,29",SMA
105,20220332,SMAN 3 BOGOR,Jawa Barat,"562,431","656,61","440,443","45,23",SMA
106,20112503,SMAS K CALVIN,DKI Jakarta,"562,359","616,565","505,793","30,87",SMA
107,20401145,SMAN 1 KALASAN,DI Yogyakarta,"562,218","640,578","476,618","31,61",SMA
108,10259371,SMAS METHODIST 3 MEDAN,Sumatera Utara,"562,217","653,503","463,61","44,84",SMA
109,20534124,SMAN 2 MADIUN,Jawa Timur,"562,183","656,505","453,295","39,12",SMA
110,20307712,SMAN 1 MUNTILAN,Jawa Tengah,"561,635","650,77","445,238","30,79",SMA
111,20607805,SMAN CMBBS,Banten,"561,133","652,38","444,515","44,18",SMA
112,69986554,SMA KRISTEN PENABUR KOTA JABABEKA,Jawa Barat,"560,911","662,763","480,158","47,96",SMA
113,20101332,SMAS BUNDA HATI KUDUS,DKI Jakarta,"560,881","641,13","474,968","46,49",SMA
114,20100806,SMAN 13 JAKARTA,DKI Jakarta,"560,701","655,478","458,44","33,54",SMA
115,20613477,SMAN 2 KOTA TANGERANG SELATAN,Banten,"560,653","646,883","408,78","42,92",SMA
116,10100170,SMA NEGERI MODAL BANGSA,Aceh,"560,577","650,523","434,885","41,26",SMA
117,20247147,SMAS PESANTREN UNGGUL AL BAYAN,Jawa Barat,"560,563","638,003","473,783","34,7",SMA
118,20329517,SMA Negeri 1 Pekalongan,Jawa Tengah,"560,374","649,588","454,143","39,01",SMA
119,20615025,SMAS PENABUR BINTARO,Banten,"560,336","655,628","453,218",42,SMA
120,20307644,SMAS PANGUDI LUHUR VAN LITH,Jawa Tengah,"560,084","644,373","472,008","37,93",SMA
121,20532131,SMAS KATOLIK FRATERAN,Jawa Timur,"559,81","641,34","440,473","47,77",SMA
122,20103296,SMAN 39 JAKARTA,DKI Jakarta,"559,761","645,45","437,23","41,24",SMA
123,20222370,SMA KRISTEN PENABUR CIREBON,Jawa Barat,"559,515","652,195","455,208","51,68",SMA
124,20403170,SMAN 7 YOGYAKARTA,DI Yogyakarta,"559,444","634,395","453,358","31,27",SMA
125,20403176,SMAN 11 YOGYAKARTA,DI Yogyakarta,"558,943","634,45","455,79","32,78",SMA
126,20532260,SMAN 6 SURABAYA,Jawa Timur,"558,789","648,4","437,068","37,47",SMA
127,20532236,SMAN 16 SURABAYA,Jawa Timur,"558,709","635,298","421,46","36,17",SMA
128,20310417,SMAN 1 SUKOHARJO,Jawa Tengah,"558,677","640,363","471,768","35,2",SMA
129,20219326,SMAN 8 BANDUNG,Jawa Barat,"558,553","662,048","409,045","46,93",SMA
130,20102592,SMAN 49 JAKARTA,DKI Jakarta,"558,552","652,77","472,508","32,29",SMA
131,20253599,SMAS PENABUR,Jawa Barat,"558,512","639,098","451,658","42,81",SMA
132,10404453,SMAN PLUS PROP RIAU,Riau,"558,172","625,848","450,275","40,79",SMA
133,20505009,SMAN 1 TUBAN,Jawa Timur,"558,029","654,888","426,805","38,68",SMA
134,20503414,SMA NEGERI 2 JOMBANG,Jawa Timur,"557,979","645,34","461,025","34,77",SMA
